linhas,date,from_stop_id,from_stop_lat,from_stop_lng,to_stop_id,to_stop_lat,to_stop_lng,dist,X00,X01,X02,X03,X04
N104-11-0,20171006,640000521,-23.485892,-46.725846,640000360,-23.485948,-46.724827,545,24.8198725137377,28.238072519084,19.5854374633001,64.5441657579062,NA
N104-11-1,20171006,640000381,-23.48455,-46.723093,640000530,-23.486959,-46.726865,630,NA,25.5704295704296,30.7836234561898,NA,2.89582417582418
N105-11-0,20171006,130001848,-23.475726,-46.670726,130001304,-23.479126,-46.673287,522,16.935652173913,29.4697674418605,35.1818181818182,28.85625,46.1350318471338
N105-11-0,20171006,480014933,-23.520125,-46.7004,480012944,-23.516096,-46.698018,1021,25.7786764210719,19.6013984498637,31.6561303505807,42.7107055752048,23.73
N106-11-0,20171006,60016796,-23.526884,-46.66449,60017204,-23.526292,-46.666997,317,41.55,21.64320144057,29.6696008188332,11.640391415425,39.5268715763847
N106-11-0,20171006,60017204,-23.526292,-46.666997,60016801,-23.526709,-46.66751,549,11.1861374326217,55.52,5.63824191497012,NA,NA
N106-11-0,20171006,670010079,-23.543781,-46.647063,6700055,-23.542137,-46.647472,343,14.52066222684,20.9441961667825,15.4952895150157,19.9872093210437,24.3290322580645
N106-11-0,20171006,6700055,-23.542137,-46.647472,6714593,-23.539287,-46.648101,283,17.7077982980613,19.8375818100172,19.2593960435588,15.428724778032,23.1144564379337
N106-11-0,20171006,6714593,-23.539287,-46.648101,700016865,-23.536466,-46.650565,385,19.0471831283633,21.4372082315115,23.7065995097176,14.567286898632,19.5185873040036
N106-11-0,20171006,700016627,-23.530109,-46.660006,60016795,-23.527127,-46.663316,443,26.4780080677542,15.6971383167642,26.756430269497,25.3788967339395,17.1420133639278
N106-11-0,20171006,800016504,-23.546798,-46.630543,800016589,-23.550033,-46.631332,798,19.2183493475084,20.8676893621482,23.3311443900037,21.9178481867054,19.238961038961
N106-11-1,20171006,670012737,-23.542391,-46.643222,670010078,-23.542872,-46.643455,117,17.3950153038916,25.7186894604196,22.7368421052632,25.6046715328467,33.46875
N106-11-1,20171006,670016425,-23.546473,-46.639045,670012731,-23.54557,-46.638378,121,21.3515824654293,20.2786643477796,19.0773856265229,25.7226843482215,37.7112216918859
N106-11-1,20171006,700012735,-23.539113,-46.647816,700015910,-23.539056,-46.647844,7,15.6136032789639,19.2078317064674,24.2747656892077,37.9030093403192,25.6253164556962
N106-11-1,20171006,700015443,-23.539406,-46.647629,700012735,-23.539113,-46.647816,36,15.6136032789639,19.2078317064674,24.2747656892077,37.9030093403192,25.6253164556962
N106-11-1,20171006,700015910,-23.539056,-46.647844,700015911,-23.539009,-46.647856,7,15.6136032789639,19.2078317064674,24.2747656892077,37.9030093403192,25.6253164556962
N106-11-1,20171006,700015913,-23.538901,-46.647906,700016854,-23.539392,-46.649006,176,15.6136032789639,19.2078317064674,24.2747656892077,37.9030093403192,25.6253164556962
N106-11-1,20171006,700015911,-23.539009,-46.647856,700015913,-23.538901,-46.647906,12,15.6136032789639,19.2078317064674,24.2747656892077,37.9030093403192,25.6253164556962
N106-11-1,20171006,700016430,-23.537484,-46.650581,700016699,-23.539573,-46.647567,566,15.8717564165112,19.6977314254102,21.2850547151136,25.9762544853159,25.6253164556962
N106-11-1,20171006,700016699,-23.539573,-46.647567,700015443,-23.539406,-46.647629,21,15.6136032789639,19.2078317064674,24.2747656892077,37.9030093403192,25.6253164556962
N106-11-1,20171006,8010173,-23.549704,-46.635873,800016949,-23.548977,-46.631206,1082,23.7019330989197,21.9805665070529,22.7064192456199,26.1591134491358,28.3315129747448
N131-11-0,20171006,390000305,-23.50575,-46.757642,390000277,-23.509082,-46.7572,739,20.556,NA,NA,NA,NA
N131-11-0,20171006,900017265,-23.520257,-46.740658,900014860,-23.516313,-46.727369,1566,33.9123713185673,31.6091537012489,35.5900444190085,41.7449113877807,49.5309628489778
N132-11-0,20171006,640000358,-23.488523,-46.730154,640000528,-23.486754,-46.726674,1192,21.8150439127462,20.4015409090438,28.8830996836072,25.1381799707344,NA
N132-11-0,20171006,640000358,-23.488523,-46.730154,640000525,-23.486374,-46.726322,1248,31.2350902934195,38.1954479418886,4.87344289320488,43.4247898353054,35.324945881372
N132-11-0,20171006,640000528,-23.486754,-46.726674,640000359,-23.488582,-46.729602,1159,60.1028601216334,59.5228566463944,NA,7.57834729439536,NA
N132-11-0,20171006,730000081,-23.485162,-46.755498,730000090,-23.488803,-46.759592,630,13.9355724727848,19.6939184952978,29.8252664576803,17.4342646858389,24.8301064757467
N132-11-0,20171006,730000195,-23.499138,-46.747274,730000202,-23.499072,-46.746227,423,17.3980354521847,20.4901449275362,19.5992141453831,27.0506024096386,NA
N132-11-0,20171006,730000202,-23.499072,-46.746227,730000239,-23.500466,-46.744683,379,26.5232667292477,24.8086956521739,24.7926525810976,27.0506024096386,NA
N132-11-0,20171006,730017254,-23.50096,-46.741496,730000249,-23.498349,-46.737034,680,16.6423005986793,29.3940886699507,25.576813406693,30.1257234924758,NA
N133-11-0,20171006,410003492,-23.43477,-46.752127,410003512,-23.439998,-46.747215,1237,15.8487786794085,15.7272062903074,23.808113327283,23.4013036855624,19.4412279177527
N133-11-0,20171006,640000525,-23.486374,-46.726322,640000359,-23.488582,-46.729602,1277,NA,48.3646265239186,58.3431235431235,52.4524107471476,52.271584903646
N133-11-0,20171006,640000525,-23.486374,-46.726322,640000360,-23.485948,-46.724827,617,7.37287383071485,27.3053159717535,27.1023043370837,21.9430379935676,NA
N134-11-0,20171006,110001115,-23.470072,-46.676618,1114265,-23.47027,-46.677205,86,29.9238761238761,26.5216783216783,28.3774225774226,34.2436363636364,32.3356486210419
N134-11-0,20171006,410003334,-23.435147,-46.716821,410003581,-23.436575,-46.717677,215,20.2235294117647,NA,NA,NA,NA
N136-11-0,20171006,480014953,-23.519849,-46.699872,4814563,-23.519951,-46.70077,402,NA,20.5791044776119,NA,NA,NA
N137-11-0,20171006,410003276,-23.426473,-46.726253,410003286,-23.432432,-46.724315,923,NA,22.8712954710536,44.52,18.7,29.7428942178691
N137-11-0,20171006,620003220,-23.415342,-46.75141,620003225,-23.411559,-46.750121,627,NA,17.6817679558011,29.7055214723926,NA,NA
