"","Linha","Tot.Passageiros.Transportados"
"614","N74411 - TERM JOAO DIAS/JD VAZ DE LIMA",249
"679","N70211 - TERM STO AMARO/T PQ D PEDRO II",490
"696","N74211 - TERM JOAO DIAS/TERM PINHEIROS",286
"697","N74511 - TER CAPELINHA/TERM CAMPO LIMPO",477
"716","N73211 - T JD ANGELA/TERM ROD JA JACIRA",356
"717","N73311 - TERM JD ANGELA/VILA GILDA",328
"734","N70311 - TERM JD ANGELA/TERM STO AMARO",904
"735","N70511 - TERM STO AMARO/TERM PINHEIROS",534
"760","N80211 - TERM PINHEIROS/T PQ D PEDRO II",335
"761","N83111 - TERM LAPA/PARQUE DA LAPA",17
"762","N83311 - TERM PINHEIROS/CEASA",80
"763","N83411 - TERM LAPA/TERMINAL PINHEIROS",144
"764","N83811 - M VILA MADALENA/CPTM LEOP0LDIN",7
"765","N83911 - METRO BUTANTA/METRO V MARIANA",46
"795","N80111 - T METRO BUTANTA/T P D PEDRO II",575
"796","N83211 - TERM LAPA/PARQUE CONTINENTAL",78
"797","N83511 - TERM PINHEIROS/JD JOÃO XXIII",165
"798","N83611 - TERM PINHEIROS/PQ CONTINENTAL",86
"799","N84011 - M VILA MARIANA/SANTA CECILIA",9
"800","N84111 - METRO VILA MARIANA/STA CECILIA",27
"801","N84211 - T PINHEIROS/COHAB RAPOSO TAVAR",71
"857","N13811 - TERM CACHOEIRINHA/JD PRINCESA",125
"858","N13911 - TERM PIRITUBA/JD PAULISTANO",121
"859","N14011 - TERM PIRITUBA/VILA MIRANTE",62
"860","N14111 - TERM CACHOEIRINHA/JD CAROMBE",110
"861","N14211 - TERM PIRITUBA/TERM CASA VERDE",33
"911","N13711 - TERM PIRITUBA/PERUS",196
"912","TREI10 - TREINAMENTO",264
"924","N23211 - METRO TUCURUVI/PQ NOVO MUNDO",20
"925","N23411 - METRO TUCURUVI/LARGO DO PERI",54
"926","N24111 - METRO SANTANA/VILA ALBERTINA",90
"958","N13811 - TERM CACHOEIRINHA/JD PRINCESA",40
"959","N23111 - TERM CACHOEIRINHA/PEDRA BRANCA",68
"968","N34111 - TERM SAO MIGUEL/VILA CISPER",35
"984","N33311 - TERM SAO MIGUEL/CIDADE KEMEL",131
"1023","N33211 - TERM A E CARVALHO/VILA CISPER",34
"1024","N34411 - TERM PENHA /VILA CISPER",26
"1025","N43311 - TERM V CARRAO/METRO BELEM",18
"1092","N43811 - M ITAQUERA/HOSP STA MARCELINA",112
"1093","N44011 - TERM V CARRAO/SAVOY DALILA",28
"1152","PACPTM - PAESE CPTM",1546
"1163","N53411 - TERM SACOMA/VILA ARAPUA",143
"1164","N53611 - TERM SACOMA/JARDIM ITAPOLIS",177
"1165","N53911 - TERM SACOMA/HOSP HELIOPOLIS",82
"1217","N63711 - METRO JABAQUARA/JARDIM MIRIAM",132
"1218","N64011 - TERM SANTO AMARO/ELDORADO",240
"1251","N63511 - TERM GRAJAU/JARDIM GAIVOTAS",877
"1252","N63611 - TERM GRAJAU/JARDIM NORONHA",311
"1253","N63811 - TERM GRAJAU/UNISA",27
"1254","N63911 - TERM GRAJAU/VARGEM GRANDE",500
"1333","N73611 - T JD ANGELA/JD HORIZONTE AZUL",311
"1334","N73711 - TERM JD ANGELA/PARQUE DO LAGO",174
"1335","N73811 - TERM GUARAPIRANGA/PQ DO LAGO",92
"1336","N73911 - TERM CAPELINHA/JD UNIVERSAL",105
"1337","N74011 - TERM JD ANGELA/JD RIVIERA",176
"1338","N74311 - TERM JOAO DIAS/JARDIM PLANALTO",164
"1339","N74611 - TERM CAMPO LIMPO/JARDIM IRENE",347
"1404","N83711 - TERM JOAO DIAS/CDHU BUTANTA",44
"1416","N84311 - TERM CAPELINHA/JARDIM ARARIBA",192
